timestamp,x,y,timestamp_sec,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,angular_velocity,is_fixation,fixation_group
1741709187211,817,476,63.677,0.03499999999999659,-216.0,248.0,328.87687665751145,9396.482190215529,-236209.21741230547,2.2873380008913005,2.4236306305868736,69.24658944534599,False,172
1741709187244,800,445,63.71,0.03300000000000125,-17.0,-31.0,35.35533905932738,1071.3739108886678,-252276.0084644408,-2.0724003809840172,1.923446925304269,58.286270463763515,False,172
1741709187277,829,410,63.743,0.03300000000000125,29.0,-35.0,45.45327270945405,1377.371900286434,9272.666345386508,-0.8788749445560378,1.1935254364279793,36.16743746751315,False,172
1741709187312,847,427,63.778,0.03499999999999659,18.0,17.0,24.758836806279895,707.3953373223517,-19142.187513261364,0.7568345055586884,1.6357094501147262,46.73455571756816,False,172
1741709187345,816,405,63.811,0.03300000000000125,-31.0,-22.0,38.01315561749642,1151.913806590757,13470.256644496623,-2.524401262049431,3.0019495395714664,90.96816786579856,False,172
1741709187378,880,478,63.844,0.03300000000000125,64.0,73.0,97.082439194738,2941.892096810131,54241.76637028201,0.8509973352284871,-2.907786709901668,-88.11474878489568,False,172
1741709187410,777,391,63.876,0.031999999999996476,-103.0,-87.0,134.82581355215328,4213.306673505254,39731.70552172698,-2.4402068019998393,2.9919811699512593,93.49941156098716,False,172
1741709187445,886,494,63.911,0.035000000000003695,109.0,103.0,149.96666296213968,4284.761798917824,2041.575011787497,0.7571038295489446,-3.0858746756308024,-88.16784787515648,False,172
1741709187477,723,421,63.943,0.031999999999996476,-163.0,-73.0,178.60011198204776,5581.253499439607,40515.365641310185,-2.7205258075048833,2.8055556701257585,87.67361469143961,False,172
1741709187511,922,460,63.977,0.03399999999999892,199.0,39.0,202.7856010667424,5964.282384316142,11265.555437545501,0.19352710719345378,2.9140529146983365,85.70743866760085,False,172
1741709187541,981,283,64.007,0.030000000000008242,59.0,-177.0,186.57438194993438,6219.146064996104,8495.456022663044,-1.2490457723982544,-1.442572879591708,-48.08576265304372,False,172
1741709187573,698,71,64.039,0.031999999999996476,-283.0,-212.0,353.60005656108143,11050.001767535012,150964.2407043575,-2.4986571555959216,-1.2496113831976672,-39.0503557249314,False,172
1741709187596,988,484,64.062,0.022999999999996135,290.0,413.0,504.6474016578308,21941.191376431114,473529.98299556226,0.9586093244842426,-2.8259188270994215,-122.86603596086506,False,172
1741709187627,700,352,64.093,0.03100000000000591,-288.0,-132.0,316.80909077865806,10219.648089632183,-378114.29957408697,-2.711830374493105,2.612745608202239,84.28211639360454,False,172
1741709187661,920,421,64.127,0.033999999999991815,220.0,69.0,230.5666931714119,6781.373328572571,-101125.72826648351,0.3039197968541169,3.0157501713472215,88.69853445141023,False,172
1741709187694,931,432,64.16,0.03300000000000125,11.0,11.0,15.556349186104045,471.4045207910138,-191211.17599337327,0.7853981633974483,0.4814783665433313,14.590253531615547,False,172
1741709187727,860,437,64.193,0.03300000000000125,-71.0,5.0,71.17583859709698,2156.843593851342,51073.9113048565,3.0712861894711687,2.285888026073721,69.26933412344346,False,172
